beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.001301394,0.064736071,0.401848669,0.003489096,0.011794377,0.014604141,0.013126266,0.016863553,0.021739532,0.012815817,0.007679782
0.002667349,0.059844339,0.169875319,0.009820789,0.011250853,0.013587897,0.018855624,0.025127435,0.025187154,0.018933908,0.006226669
0.001684146,0.060718921,0.392810944,0.00483303,0.013962573,0.012288945,0.020540695,0.018782027,0.017395024,0.01282328,0.013330872
0.002113139,0.061383532,0.870741776,0.000303529,0.004133844,0.008366132,0.011647209,0.014494497,0.019127924,0.013140802,0.012488719
0.007641033,0.054960261,0.291504413,0.00780912,0.012609307,0.007353469,0.015377515,0.024018041,0.017115136,0.013349158,0.00756139
0.006224649,0.056744519,0.02994999,0.009033487,0.02000314,0.005802278,0.017824934,0.02800334,0.014622414,0.024467325,0.019803872
0.008368265,0.057420214,0.045928651,0.007729895,0.016055067,0.009872976,0.01393284,0.026951815,0.013502974,0.008400121,0.011660711
0.00525102,0.059468091,0.181176241,0.007596726,0.014360975,0.007560485,0.018859829,0.021242073,0.022693833,0.023380851,0.010345922
0.003589249,0.059754952,0.573045788,0.003979834,0.009557466,0.011587105,0.015865586,0.01259617,0.022908119,0.010716578,0.004258822
0.001789531,0.063748884,0.520060687,0.003470549,0.006929569,0.015345529,0.015131519,0.018060852,0.022060834,0.015880327,0.006271923
0.002712742,0.060862825,0.186955173,0.00528442,0.01233446,0.013761436,0.016287627,0.027693336,0.030780245,0.014485917,0.007098772
0.000326766,0.067287427,0.013469797,0.00362923,0.017370175,0.008377147,0.017926098,0.023199723,0.036580968,0.016520299,0.011918697
0.000369846,0.06590465,0.390217914,0.003506131,0.011861456,0.010851415,0.011654315,0.020836249,0.023536649,0.023995666,0.010923226
0.002992266,0.061974486,0.278728423,0.000581215,0.013994558,0.014854241,0.017810668,0.021351403,0.023409894,0.017625021,0.007427574
0.001501673,0.06367179,0.063967342,0.00708442,0.017854133,0.013232424,0.013983579,0.024391936,0.030038273,0.015036149,0.012195532
0.004510952,0.058410608,0.005495808,0.010843643,0.011216422,0.022823993,0.01967535,0.024156441,0.029931962,0.021690625,0.010322808
0.00055233,0.06627506,0.455181604,0.001502784,0.012729894,0.007161702,0.015146544,0.012382729,0.035122436,0.003123094,0.017558778
0.001988389,0.064431971,0.340139006,0.007505154,0.00533413,0.019674416,0.01176133,0.020438745,0.023342307,0.014582171,0.006702521
0.00400745,0.062573295,0.136270952,0.00724853,0.013750413,0.012874838,0.018650227,0.020593802,0.024013917,0.014564925,0.005375653
0.009329093,0.053071091,0.150053919,0.007727304,0.012266413,0.010006776,0.021226034,0.022072844,0.026804005,0.014969664,0.01573148
0.006359608,0.055222449,0.702032554,0.002472262,0.008667849,0.004879957,0.013157926,0.012962989,0.028651703,0.007727326,0.007271786
0.008126798,0.053935255,0.699222095,0.003984597,0.005075168,0.008480209,0.012902145,0.013558667,0.024798861,0.010834582,0.008375973
0.008578721,0.056248329,0.753452668,0.000151939,0.004860079,0.010576739,0.006204221,0.013606816,0.019111157,0.008733254,0.006036917
0.005976907,0.056739935,0.840921264,0.003909622,0.001031111,0.014827928,0.005209877,0.016682811,0.020241598,0.010081444,0.007032954
0.000655499,0.065726724,0.819006005,0.003258857,0.000831137,0.007129955,0.010483577,0.011801641,0.030284336,0.012011028,0.007921842
0.000601505,0.063740908,0.753961868,0.001958697,0.001395829,0.01726083,0.008765025,0.016200839,0.026260828,0.010542602,0.011823519
