beta1,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.042592079,0.344336565,0.008155159,0.009764062,0.008683681,0.017927432,0.018754204,0.024019397,0.019826629,0.015988375
0.042500172,0.330049632,0.006255728,0.010923078,0.005638014,0.014214053,0.022565408,0.019515151,0.008347197,0.02183824
0.043068458,0.168029111,0.011197351,0.016743299,0.007618568,0.018233218,0.022318928,0.024962406,0.02423163,0.014031033
0.043043446,0.010625527,0.017331604,0.010735339,0.007696153,0.018365457,0.022417238,0.020956636,0.012275264,0.007833775
0.043136271,0.111515023,0.009955982,0.011889812,0.013125335,0.021649628,0.018426678,0.018855959,0.013767606,0.003405824
0.043103375,0.668389264,0.00218017,0.005857064,0.009699038,0.011048713,0.018173741,0.01802573,0.010538143,0.012048127
0.043336562,0.15530718,0.008776829,0.012084152,0.010739482,0.012675557,0.030266356,0.014324354,0.018239576,0.0122227
0.042969047,0.065599759,0.013078278,0.012856459,0.009020991,0.020056426,0.020268248,0.018947553,0.018880814,0.008465004
0.043063341,0.277954124,0.010320903,0.006852675,0.008086943,0.009174322,0.026240276,0.016814652,0.015774534,0.007186469
0.042865188,0.219832721,0.004224058,0.015426522,0.010036643,0.011668801,0.029029363,0.016096072,0.015832739,0.008349583
0.043173101,0.587625161,0.005467074,0.007865465,0.008261824,0.00468712,0.022230254,0.011642634,0.010593086,0.008025304
0.042928605,0.092477994,0.008570145,0.014593836,0.015418103,0.015311645,0.024681653,0.019319556,0.025516485,0.022041949
0.043246045,0.330698605,0.006370514,0.014016544,0.003658397,0.013671629,0.026657199,0.017590137,0.009328575,0.007785255
0.043558582,0.374985833,0.004634216,0.00830922,0.011047864,0.01721798,0.020489524,0.022846595,0.013759951,0.011332277
0.043416073,0.532781512,0.003312712,0.007292371,0.008317818,0.006742459,0.026047785,0.012112348,0.008581916,0.007572849
0.043362783,0.649011996,0.001364157,0.0085617,0.0053914,0.007808646,0.01741522,0.012746344,0.011922317,0.005562361
0.042656703,0.139367079,0.007650143,0.013835615,0.014597789,0.021577242,0.022626457,0.015162733,0.013983676,0.006106491
0.043017572,0.304501924,0.007416153,0.009605022,0.010145529,0.015020959,0.018578211,0.020351122,0.013166261,0.008474775
0.043511796,0.175216027,0.009145452,0.009329718,0.009202586,0.016113601,0.019425715,0.019788258,0.011520826,0.005786924
0.043198011,0.404367047,0.004896188,0.010145887,0.006806554,0.014473912,0.020552593,0.023623999,0.015329642,0.011253915
0.043123816,0.651594499,0.002599666,0.007132978,0.006876783,0.005587192,0.021620564,0.012015855,0.00850422,0.006641373
0.042912641,0.257592082,0.005164182,0.011971707,0.010458731,0.015590012,0.01979983,0.024644159,0.014098548,0.012994037
0.042700034,0.634038433,0.000905763,0.006204913,0.014005778,0.01057415,0.017359611,0.018808504,0.01521155,0.012171545
0.042992709,0.840213683,0.002198161,0.006617714,0.004132753,0.004030274,0.022044157,0.014207775,0.008350267,0.006678606
0.043636019,0.710167666,0.000803975,0.003835327,0.013606952,0.001890882,0.023600866,0.011133483,0.006741578,0.009684647
0.043098459,0.081206064,0.011558992,0.008990023,0.011991006,0.015477666,0.027532642,0.024344668,0.01589362,0.008872087
0.04294836,0.252623178,0.008067581,0.012021396,0.009519438,0.009807116,0.025249142,0.017192576,0.01060831,0.006762438
0.042613389,0.131583655,0.014111109,0.0113855,0.009773877,0.01770739,0.020425438,0.021670842,0.016810492,0.004569916
0.043597256,0.373060789,0.004874746,0.011597747,0.008556126,0.011397949,0.020441628,0.01763166,0.014110108,0.011591807
0.042735075,0.556607672,0.008352399,0.0058031,0.010912954,0.010447604,0.021305549,0.018054295,0.016378698,0.007389957
0.042852523,0.47780338,0.002274943,0.008498191,0.014356589,0.014386204,0.01857103,0.014526522,0.009199295,0.008946802
0.042730929,0.581995902,0.001177578,0.01052064,0.008204246,0.007619542,0.022615251,0.018506632,0.006553604,0.011873209
0.043045512,0.273341764,0.010090387,0.007234686,0.011163168,0.015365142,0.018222745,0.022551117,0.014132181,0.003596558
0.043161778,0.066211928,0.008400645,0.018115122,0.009052811,0.023858997,0.018694119,0.023349969,0.018133044,0.009923979
0.043150711,0.600191747,0.011740023,0.005306589,0.007109967,0.012252293,0.015510145,0.018304167,0.012867366,0.004757674
0.043328663,0.351319656,0.00325869,0.011819425,0.009640442,0.018141211,0.017734222,0.020482147,0.013240284,0.005185981
0.042968326,0.340027891,0.009198541,0.009048192,0.005131415,0.013028732,0.019717323,0.020354189,0.012389936,0.005470973
0.043213184,0.248920659,0.008150841,0.01137589,0.009277243,0.012667771,0.025059753,0.019861156,0.014070064,0.005169048
0.043273544,0.667199578,0.004245957,0.005231845,0.010581024,0.012481996,0.017982339,0.015326036,0.012260311,0.012728479
0.043205598,0.208149805,0.012650006,0.009399453,0.008557116,0.015126648,0.022855339,0.018215066,0.007680838,0.01012737
0.043673908,0.288649806,0.012495693,0.006050911,0.011989377,0.013143796,0.025354516,0.016351356,0.019567468,0.00628966
0.044010681,0.143442375,0.013020113,0.010825368,0.008174915,0.014955492,0.023310422,0.011689346,0.01050942,0.006915956
0.043709189,0.033497656,0.011091847,0.01276562,0.012394943,0.024442785,0.015678793,0.02058703,0.017793274,0.01432453
0.043901005,0.246882699,0.003321472,0.011204024,0.01596164,0.012678764,0.021416324,0.026828865,0.018265618,0.007172816
0.043629236,0.443991939,0.004318776,0.009875639,0.003366105,0.015721171,0.014241242,0.019678828,0.011112639,0.00461646
0.043300658,0.059157136,0.009212785,0.008843723,0.015561497,0.018486329,0.021905102,0.0220497,0.013968329,0.004579942
0.043407835,0.175224384,0.012213759,0.009925129,0.009410048,0.016037766,0.01924883,0.02519118,0.007931762,0.00965776
0.043411487,0.153250848,0.009542487,0.011286981,0.016801198,0.014074363,0.022607669,0.022325516,0.017416499,0.007388993
0.042984702,0.295881008,0.012816494,0.009713485,0.008431796,0.015176537,0.02441851,0.013789747,0.011719599,0.009351637
0.04290108,0.417785498,0.007501428,0.008891794,0.010227475,0.015060591,0.021823074,0.010838318,0.010696387,0.004649776
0.043257325,0.112192803,0.011738451,0.012071174,0.007655074,0.017581139,0.021369135,0.021401934,0.016822166,0.007716549
0.042800869,0.095192449,0.012850657,0.009188414,0.009791082,0.012387477,0.027418864,0.023131991,0.016832915,0.007935126
0.042762078,0.233174609,0.012717465,0.008975378,0.0061613,0.022153392,0.017826133,0.022300097,0.016208174,0.008318797
0.04281668,0.188716807,0.014398958,0.011530379,0.008653733,0.014081098,0.022720293,0.020597627,0.013419021,0.006292289
0.043109668,0.257193241,0.008383902,0.00811603,0.010091382,0.020856368,0.017635658,0.02539521,0.018327078,0.007498824
0.043213448,0.053563032,0.011923981,0.009612033,0.011442409,0.021996717,0.023785945,0.016973598,0.012643194,0.0089647
0.043128683,0.133252518,0.007034593,0.013417458,0.003632221,0.013140857,0.025740211,0.016980392,0.012363839,0.007442494
