beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000649681,0.043063401,0.007120428,0.015004714,0.014746272,0.0187847,0.027677226,0.025781875,0.023413108,0.010968645
0.000325136,0.039032231,0.007279692,0.011906325,0.019011509,0.016655338,0.027024432,0.04383593,0.025505271,0.017451473
0.001574235,0.039926549,0.00551859,0.015488286,0.020344993,0.01869471,0.024005699,0.03128573,0.018046316,0.007733216
0.003468019,0.038112497,0.010398825,0.012065018,0.017415767,0.009364495,0.031631108,0.032816584,0.021162078,0.009651998
0.004792477,0.034970947,0.012687265,0.014728046,0.012795205,0.018478623,0.024671721,0.037256643,0.022735598,0.018585887
0.000499817,0.043219345,0.010149254,0.015841032,0.011026995,0.01341783,0.027618942,0.024214151,0.020765396,0.00942414
0.000691575,0.042442005,0.012460462,0.011970836,0.019808277,0.016859156,0.030609885,0.019409593,0.011898525,0.018333405
0.003312849,0.039060126,0.006246205,0.015939458,0.017303462,0.021671421,0.02120211,0.039740402,0.018116461,0.021587206
0.001570099,0.04038568,0.007763026,0.015618068,0.017745644,0.017652875,0.023817986,0.032597245,0.019922952,0.008165699
0.007887467,0.036621356,0.005189798,0.015539145,0.021831257,0.015024417,0.024622464,0.027569751,0.019237474,0.00818515
0.00452122,0.039364607,0.009575508,0.013365725,0.019547265,0.016649089,0.026772226,0.025350411,0.022779993,0.011394985
0.002243113,0.039776261,0.007442053,0.014272199,0.017518923,0.023040381,0.021356188,0.03139242,0.018203169,0.009966278
0.000418438,0.04015963,0.004372226,0.01502641,0.024820854,0.019149415,0.025116453,0.029735514,0.02061722,0.012309779
0.000927325,0.039481836,0.009471538,0.01414907,0.023041527,0.016164244,0.022257906,0.040930096,0.017776787,0.014234288
0.003066606,0.040783182,0.006660785,0.014611089,0.025002431,0.010464281,0.028166475,0.023633162,0.02532632,0.005716922
0.000725195,0.040903695,0.007475253,0.014964896,0.013987804,0.012950584,0.027176061,0.039401775,0.026769667,0.015467248
0.007940133,0.035461198,0.014005741,0.009980503,0.022538184,0.020146346,0.021748294,0.02950771,0.027264045,0.010412349
0.001560368,0.03974054,0.013648295,0.00982657,0.019813635,0.02077341,0.02211635,0.033013049,0.022364332,0.01813598
0.001465979,0.038602248,0.009037855,0.018551837,0.010521312,0.019627972,0.027474557,0.025607852,0.016364374,0.01117465
0.002267017,0.041161305,0.009128475,0.01089509,0.019607441,0.011187736,0.03077788,0.033664372,0.016797134,0.010660233
0.001058071,0.041439668,0.008568274,0.016378625,0.014950717,0.018843101,0.020671144,0.037532707,0.020471947,0.012151907
0.000759387,0.04020147,0.009703462,0.017967371,0.016959357,0.022726484,0.02296752,0.029426127,0.020656725,0.006853715
0.000883873,0.039310973,0.01189404,0.012779822,0.020582484,0.01807666,0.024807438,0.030712649,0.019436614,0.007699655
0.005172568,0.039168998,0.007194657,0.013617259,0.018851072,0.015197415,0.025957459,0.024456711,0.015017802,0.007908795
0.001864387,0.040895469,0.009324739,0.015281049,0.013547228,0.015329527,0.02446111,0.03084014,0.019205497,0.013648937
0.000246385,0.040699184,0.009218243,0.013350089,0.015993306,0.014162036,0.028979185,0.031089543,0.014156552,0.009626333
0.003985596,0.036646998,0.008199808,0.018477749,0.014408833,0.018548127,0.028759003,0.022979728,0.016954078,0.006223165
0.0049027,0.036126781,0.014202721,0.013403109,0.010374803,0.020301432,0.02403927,0.033796123,0.024269591,0.010433611
0.003159825,0.040032644,0.006318682,0.013843855,0.016176372,0.020861483,0.019765716,0.035372774,0.016808992,0.005586749
7.13E-05,0.040286499,0.012515333,0.014915843,0.010767618,0.015905362,0.024365288,0.038053399,0.022364258,0.013799083
0.004537376,0.03647119,0.009920979,0.014761422,0.013308821,0.022014368,0.025844886,0.029790448,0.016144148,0.007836377
0.001533173,0.04236973,0.010203333,0.013342274,0.020738999,0.021586194,0.022533352,0.026804338,0.02455319,0.005879098
6.96E-05,0.042224466,0.009736055,0.014334564,0.014200288,0.016570029,0.024671482,0.033025829,0.017554774,0.008800327
0.000491859,0.042522725,0.010181243,0.013773639,0.013002719,0.020129632,0.023440745,0.029576648,0.017335307,0.008238875
6.43E-05,0.041744616,0.008375054,0.014228496,0.019293241,0.021529274,0.019610276,0.038224408,0.015057787,0.011438273
