beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.006549508,0.039627035,0.355471669,0.004389948,0.009554821,0.016880282,0.007861816,0.02615434,0.02003119,0.015587921,0.007760112
0.000765142,0.045741076,0.031061412,0.008075761,0.01515282,0.008778301,0.021708044,0.020342768,0.025454292,0.013165359,0.013331336
0.003550487,0.038912903,0.040731213,0.007452688,0.014328734,0.013769018,0.023549534,0.028159576,0.022553173,0.024517467,0.010196508
0.004518477,0.038318201,0.087241319,0.003892684,0.018928683,0.014400103,0.017552596,0.024958095,0.026949709,0.024063277,0.007542902
6.02E-05,0.052365184,0.653385186,0.003098666,0.00422569,0.012884146,0.003147968,0.014972062,0.026325052,0.0089394,0.012225391
0.000749549,0.044653984,0.708883526,0.003189383,0.0059466,0.009516728,0.008991531,0.019883896,0.02493781,0.017492034,0.011793212
0.002006446,0.047805244,0.684217865,0.00282164,0.004213197,0.008538345,0.013513669,0.011365582,0.02755904,0.013649625,0.014196165
0.001060674,0.043479128,0.555115352,0.003039703,0.011833867,0.009784434,0.01448028,0.020019638,0.01898839,0.014672676,0.00408741
0.006327731,0.035967961,0.035667001,0.008539642,0.012625586,0.012183871,0.016830191,0.026868953,0.034180017,0.02148968,0.011994607
0.008016056,0.034595944,0.020410609,0.007825301,0.013367698,0.017290062,0.019191369,0.025299806,0.026397327,0.01755344,0.006196918
0.000718744,0.039436802,0.288219827,0.009574663,0.009936912,0.014724105,0.014115484,0.02488401,0.028864198,0.017332242,0.006423133
0.001182037,0.045603485,0.253654459,0.005102831,0.014662515,0.010042412,0.009919293,0.019649339,0.032221504,0.01283343,0.008555755
0.001521187,0.04061011,0.034887248,0.006637005,0.014977712,0.015024974,0.01733808,0.026628694,0.028241728,0.015975707,0.010088417
0.001218014,0.038226411,0.145919384,0.004347403,0.021754477,0.007611552,0.017389463,0.025255534,0.034836316,0.018527796,0.011118079
0.001240789,0.042955394,0.477737089,0.00488568,0.007357605,0.016325031,0.009741425,0.021636839,0.032831551,0.012900212,0.019551017
0.004641891,0.035877241,0.179306397,0.005706681,0.017679191,0.01197771,0.011600974,0.029964375,0.024378067,0.015496822,0.009358128
0.004625777,0.040945226,0.185541129,0.006011799,0.011403003,0.015473281,0.016892267,0.01554237,0.039241751,0.025779815,0.012440781
0.003866586,0.04159777,0.415030727,0.005510022,0.010183837,0.012869159,0.013922266,0.019562431,0.027629469,0.013397766,0.008301213
0.00582453,0.040449979,0.371910927,0.001567331,0.012189214,0.013533138,0.013065281,0.018436954,0.028629075,0.019794981,0.013415361
0.000782068,0.04851054,0.765220803,0.002395561,0.009362606,0.002676778,0.00660814,0.016982874,0.019889208,0.012322936,0.011040384
0.001155731,0.048284819,0.779660143,0.001803243,0.004434257,0.007072349,0.006434841,0.015768783,0.027087191,0.003147383,0.010045498
